"","variable","relative_importance","scaled_importance","percentage"
"1","WheelType",54295.04296875,1,0.190014707280013
"2","SubModel",35004.34375,0.644706069578894,0.122503635092681
"3","VNZIP1",31666.30859375,0.583226513182351,0.110821615180287
"4","BYRNO",24734.837890625,0.45556346469532,0.0865637583915497
"5","Color",15633.419921875,0.28793457131755,0.0547118032847004
"6","Model",13396.587890625,0.246736850329698,0.04688363039059
"7","Trim",12630.931640625,0.23263507955772,0.0442040865452228
"8","VNST",9440.2861328125,0.173870129143206,0.0330378816938844
"9","VehOdo",8762.076171875,0.161378934296416,0.030664370961494
"10","VehBCost",7273.74609375,0.13396703816841,0.0254557075427408
"11","Make",6344.7158203125,0.116856262991895,0.0222044086062412
"12","VehicleAge",5598.88037109375,0.103119549501346,0.0195942310133452
"13","MMRCurrentAuctionAveragePrice",5470.7568359375,0.100759784628704,0.0191458409818204
"14","MMRAcquisitionAuctionCleanPrice",5282.5576171875,0.0972935525666298,0.0184872059111807
"15","MMRAcquisitionAuctionAveragePrice",5226.91162109375,0.0962686708637867,0.0182924633144184
"16","MMRCurrentRetailCleanPrice",5209.84033203125,0.0959542537802175,0.0182327194443201
"17","MMRCurrentAuctionCleanPrice",5172.99560546875,0.0952756517468107,0.0181037750775827
"18","MMRCurrentRetailAveragePrice",5161.8330078125,0.0950700602775734,0.0180647096747363
"19","VehYear",4916.19970703125,0.0905460137467948,0.0172050742974693
"20","MMRAcquisitonRetailCleanPrice",4824.8603515625,0.0888637357620196,0.0168854167386286
"21","WarrantyCost",4808.70654296875,0.0885662167306221,0.0168288837469674
"22","MMRAcquisitionRetailAveragePrice",4682.525390625,0.0862422264463456,0.016387291413379
"23","Size",4035.63891601562,0.0743279440507741,0.014123402531533
"24","Auction",1867.08569335938,0.0343877744867794,0.0065341829031165
"25","TopThreeAmericanName",1598.41784667969,0.0294394802781475,0.00559393422752792
"26","AUCGUART",694.1328125,0.0127844601375399,0.00242923545076764
"27","Transmission",597.588012695312,0.0110063088639466,0.00209136055701622
"28","Nationality",587.948120117188,0.0108287624057243,0.00205762411872852
"29","PRIMEUNIT",578.782104492188,0.0106599437599729,0.00202554609317265
"30","IsOnlineSale",243.307983398438,0.00448121909652923,0.000851497534884606
